Total Trips,Maximum Trips,Minimum Trips,Start Date,End Date,Total Days,Average Trips/Day,Most Active Day,Least Active Day,Max Active Vehicles,Min Active Vehicles
27287,2135,1,2015-01-01,2015-08-31,243,112.29218106995884,2015-07-07,2015-07-01,33,1
26287,616,82,2015-01-01,2015-08-31,243,108.17695473251028,2015-06-16,2015-07-12,22,7
54145,564,26,2015-01-01,2015-08-31,243,222.81893004115227,2015-02-04,2015-01-01,120,17
76795,810,45,2015-01-01,2015-08-31,243,316.02880658436214,2015-02-04,2015-01-01,184,24
26998,1296,604,2015-01-01,2015-08-31,243,111.10288065843622,2015-05-09,2015-05-19,75,53
103425,1852,262,2015-01-01,2015-08-31,243,425.61728395061726,2015-02-20,2015-03-17,55,29
10233,227,19,2015-01-01,2015-08-31,243,42.111111111111114,2015-05-14,2015-05-24,17,2
1477,78,2,2015-01-01,2015-08-31,243,6.078189300411522,2015-05-07,2015-04-08,34,1
42706,627,44,2015-01-01,2015-08-31,243,175.7448559670782,2015-03-14,2015-06-30,51,10
6753,172,10,2015-01-01,2015-08-31,243,27.790123456790123,2015-02-06,2015-01-01,78,9
2162,121,13,2015-01-01,2015-08-31,243,8.897119341563785,2015-05-19,2015-05-24,48,9
1237,40,1,2015-01-01,2015-08-31,243,5.090534979423868,2015-07-22,2015-05-23,16,1
535,32,2,2015-01-01,2015-08-31,243,2.2016460905349793,2015-05-04,2015-05-16,20,1
136024,1333,182,2015-01-01,2015-08-31,243,559.7695473251028,2015-02-28,2015-07-15,154,34
17535,324,242,2015-01-01,2015-08-31,243,72.1604938271605,2015-04-25,2015-04-19,22,2
3881,77,32,2015-01-01,2015-08-31,243,15.97119341563786,2015-05-03,2015-06-19,9,7
5109,232,34,2015-01-01,2015-08-31,243,21.02469135802469,2015-07-02,2015-08-01,17,5
7455,123,3,2015-01-01,2015-08-31,243,30.679012345679013,2015-05-05,2015-07-05,21,2
906,30,5,2015-01-01,2015-08-31,243,3.728395061728395,2015-07-24,2015-06-07,5,2
2862,110,2,2015-01-01,2015-08-31,243,11.777777777777779,2015-06-11,2015-04-06,22,1
86712,682,90,2015-01-01,2015-08-31,243,356.8395061728395,2015-02-20,2015-01-27,94,33
48158,702,1,2015-01-01,2015-08-31,243,198.18106995884773,2015-02-25,2015-04-30,192,1
2774,55,1,2015-01-01,2015-08-31,243,11.415637860082304,2015-05-13,2015-04-19,20,1
2618,56,1,2015-01-01,2015-08-31,243,10.77366255144033,2015-06-03,2015-04-16,17,1
177179,1178,259,2015-01-01,2015-08-31,243,729.1316872427983,2015-02-16,2015-01-27,134,24
138693,1697,157,2015-01-01,2015-08-31,243,570.7530864197531,2015-02-26,2015-05-24,326,60
837,53,4,2015-01-01,2015-08-31,243,3.4444444444444446,2015-04-17,2015-04-05,13,2
232650,3174,1224,2015-01-01,2015-08-31,243,957.4074074074074,2015-04-23,2015-03-05,705,355
26529,486,61,2015-01-01,2015-08-31,243,109.17283950617283,2015-04-16,2015-05-24,163,39
17249,212,3,2015-01-01,2015-08-31,243,70.98353909465021,2015-07-14,2015-05-25,49,3
27560,363,33,2015-01-01,2015-08-31,243,113.4156378600823,2015-02-27,2015-01-27,93,19
12261,350,33,2015-01-01,2015-08-31,243,50.45679012345679,2015-05-13,2015-07-18,12,4
8126,136,4,2015-01-01,2015-08-31,243,33.440329218106996,2015-04-16,2015-05-24,48,4
278127,2475,712,2015-01-01,2015-08-31,243,1144.5555555555557,2015-02-28,2015-01-27,157,70
3004,154,45,2015-01-01,2015-08-31,243,12.362139917695472,2015-05-04,2015-05-09,13,6
4778,197,68,2015-01-01,2015-08-31,243,19.662551440329217,2015-05-13,2015-05-25,44,27
292,16,6,2015-01-01,2015-08-31,243,1.2016460905349795,2015-06-29,2015-06-01,4,2
977,78,50,2015-01-01,2015-08-31,243,4.020576131687243,2015-04-11,2015-04-01,8,7
19138,731,1,2015-01-01,2015-08-31,243,78.75720164609054,2015-05-10,2015-05-16,38,1
59620,605,23,2015-01-01,2015-08-31,243,245.34979423868313,2015-03-11,2015-01-01,130,13
23884,261,15,2015-01-01,2015-08-31,243,98.2880658436214,2015-07-08,2015-05-30,66,6
56380,509,46,2015-01-01,2015-08-31,243,232.0164609053498,2015-02-11,2015-01-27,99,15
616,19,1,2015-01-01,2015-08-31,243,2.5349794238683128,2015-05-19,2015-01-03,11,1
93119,2498,566,2015-01-01,2015-08-31,243,383.20576131687244,2015-02-06,2015-01-27,134,48
7898,182,77,2015-01-01,2015-08-31,243,32.50205761316872,2015-04-11,2015-06-14,19,6
90493,1346,57,2015-01-01,2015-08-31,243,372.3991769547325,2015-05-14,2015-01-01,182,35
2639,118,16,2015-01-01,2015-08-31,243,10.860082304526749,2015-07-17,2015-06-02,12,1
172,11,2,2015-01-01,2015-08-31,243,0.7078189300411523,2015-07-02,2015-07-03,5,2
14254,410,158,2015-01-01,2015-08-31,243,58.65843621399177,2015-04-03,2015-04-16,24,18
6520,74,1,2015-01-01,2015-08-31,243,26.83127572016461,2015-05-13,2015-01-27,40,1
64,4,1,2015-01-01,2015-08-31,243,0.26337448559670784,2015-07-10,2015-07-03,3,1
19159,249,8,2015-01-01,2015-08-31,243,78.84362139917695,2015-07-15,2015-05-24,46,6
1795,41,1,2015-01-01,2015-08-31,243,7.386831275720165,2015-04-09,2015-06-10,7,1
2421,34,1,2015-01-01,2015-08-31,243,9.962962962962964,2015-02-25,2015-01-24,10,1
7633,170,89,2015-01-01,2015-08-31,243,31.411522633744855,2015-04-25,2015-05-19,19,12
32317,982,246,2015-01-01,2015-08-31,243,132.9917695473251,2015-05-22,2015-06-28,21,12
74529,1040,80,2015-01-01,2015-08-31,243,306.7037037037037,2015-04-22,2015-05-24,249,45
74140,669,37,2015-01-01,2015-08-31,243,305.1028806584362,2015-05-20,2015-01-27,207,22
46876,958,535,2015-01-01,2015-08-31,243,192.90534979423867,2015-03-14,2015-03-05,70,52
127740,3081,189,2015-01-01,2015-08-31,243,525.679012345679,2015-02-13,2015-01-27,770,80
15825,197,2,2015-01-01,2015-08-31,243,65.12345679012346,2015-06-10,2015-07-04,47,2
21857,1006,556,2015-01-01,2015-08-31,243,89.94650205761317,2015-06-14,2015-06-16,80,67
6636,243,50,2015-01-01,2015-08-31,243,27.308641975308642,2015-04-01,2015-05-11,13,9
28420,614,217,2015-01-01,2015-08-31,243,116.95473251028807,2015-03-14,2015-03-02,78,53
64036,1235,291,2015-01-01,2015-08-31,243,263.52263374485597,2015-03-01,2015-01-27,76,37
20148,465,208,2015-01-01,2015-08-31,243,82.91358024691358,2015-03-14,2015-04-28,55,38
87380,1346,120,2015-01-01,2015-08-31,243,359.5884773662551,2015-07-18,2015-01-27,64,20
21656,1029,148,2015-01-01,2015-08-31,243,89.11934156378601,2015-05-03,2015-06-09,58,19
171506,2230,682,2015-01-01,2015-08-31,243,705.7860082304527,2015-07-31,2015-03-01,82,59
2704,95,1,2015-01-01,2015-08-31,243,11.127572016460906,2015-04-01,2015-01-03,19,1
70868,1127,249,2015-01-01,2015-08-31,243,291.63786008230454,2015-02-14,2015-01-27,90,42
8226,252,48,2015-01-01,2015-08-31,243,33.851851851851855,2015-04-21,2015-05-31,18,7
55828,1315,367,2015-01-01,2015-08-31,243,229.7448559670782,2015-02-20,2015-01-27,124,65
72205,1079,87,2015-01-01,2015-08-31,243,297.13991769547323,2015-02-26,2015-01-01,280,43
22662,912,577,2015-01-01,2015-08-31,243,93.25925925925925,2015-05-10,2015-05-18,88,72
14874,268,214,2015-01-01,2015-08-31,243,61.20987654320987,2015-04-02,2015-05-08,23,22
77879,711,91,2015-01-01,2015-08-31,243,320.4897119341564,2015-02-20,2015-01-27,68,15
19435,868,502,2015-01-01,2015-08-31,243,79.97942386831275,2015-04-18,2015-04-28,79,68
14201,265,64,2015-01-01,2015-08-31,243,58.440329218106996,2015-04-16,2015-04-12,14,5
40204,385,20,2015-01-01,2015-08-31,243,165.4485596707819,2015-04-16,2015-01-27,100,7
34,3,1,2015-01-01,2015-08-31,243,0.13991769547325103,2015-04-30,2015-04-02,3,1
12021,377,17,2015-01-01,2015-08-31,243,49.46913580246913,2015-05-28,2015-04-10,40,9
17632,605,270,2015-01-01,2015-08-31,243,72.559670781893,2015-05-01,2015-05-06,72,54
2991,56,19,2015-01-01,2015-08-31,243,12.308641975308642,2015-05-19,2015-05-01,7,5
11687,301,77,2015-01-01,2015-08-31,243,48.09465020576132,2015-05-06,2015-05-24,28,12
103256,1492,179,2015-01-01,2015-08-31,243,424.9218106995885,2015-02-20,2015-01-27,91,22
84085,1944,537,2015-01-01,2015-08-31,243,346.02880658436214,2015-01-31,2015-01-27,176,89
3434,84,27,2015-01-01,2015-08-31,243,14.131687242798353,2015-07-04,2015-06-01,9,4
74810,1123,244,2015-01-01,2015-08-31,243,307.86008230452677,2015-02-20,2015-01-27,137,68
3387,59,20,2015-01-01,2015-08-31,243,13.938271604938272,2015-06-01,2015-06-29,14,5
5038,170,2,2015-01-01,2015-08-31,243,20.732510288065843,2015-06-17,2015-06-28,24,2
2733,127,18,2015-01-01,2015-08-31,243,11.246913580246913,2015-07-09,2015-04-11,10,8
77630,1362,294,2015-01-01,2015-08-31,243,319.4650205761317,2015-02-24,2015-01-27,129,49
3423,62,5,2015-01-01,2015-08-31,243,14.08641975308642,2015-01-09,2015-01-03,45,5
186078,2061,525,2015-01-01,2015-08-31,243,765.7530864197531,2015-02-20,2015-01-27,168,68
27963,1916,636,2015-01-01,2015-08-31,243,115.07407407407408,2015-06-01,2015-06-28,96,65
2863,86,18,2015-01-01,2015-08-31,243,11.781893004115226,2015-04-24,2015-04-12,10,2
9256,263,61,2015-01-01,2015-08-31,243,38.09053497942387,2015-04-15,2015-05-31,23,10
65266,1323,836,2015-01-01,2015-08-31,243,268.5843621399177,2015-04-04,2015-06-30,148,120
86477,2766,415,2015-01-01,2015-08-31,243,355.87242798353907,2015-02-13,2015-01-27,178,70
244,244,244,2015-01-01,2015-08-31,243,1.0041152263374487,2015-06-01,2015-06-01,1,1
2652,116,60,2015-01-01,2015-08-31,243,10.91358024691358,2015-06-27,2015-06-21,12,7
3155,89,7,2015-01-01,2015-08-31,243,12.983539094650206,2015-05-26,2015-07-28,6,5
29454,746,250,2015-01-01,2015-08-31,243,121.20987654320987,2015-06-27,2015-07-17,52,30
65168,1407,796,2015-01-01,2015-08-31,243,268.18106995884773,2015-03-14,2015-03-05,162,128
16715,343,1,2015-01-01,2015-08-31,243,68.78600823045268,2015-06-17,2015-04-01,99,1
9331,305,11,2015-01-01,2015-08-31,243,38.39917695473251,2015-02-11,2015-01-27,89,7
3182,99,9,2015-01-01,2015-08-31,243,13.094650205761317,2015-06-30,2015-05-24,7,1
72926,3763,939,2015-01-01,2015-08-31,243,300.10699588477365,2015-01-31,2015-01-27,213,106
13446,182,33,2015-01-01,2015-08-31,243,55.333333333333336,2015-05-19,2015-07-01,14,7
579,58,6,2015-01-01,2015-08-31,243,2.382716049382716,2015-05-01,2015-05-17,6,1
14685,420,26,2015-01-01,2015-08-31,243,60.4320987654321,2015-06-11,2015-07-11,26,7
19078,342,10,2015-01-01,2015-08-31,243,78.51028806584362,2015-05-06,2015-04-04,56,10
4579,210,74,2015-01-01,2015-08-31,243,18.843621399176953,2015-05-18,2015-05-17,16,9
14357,293,156,2015-01-01,2015-08-31,243,59.08230452674897,2015-04-26,2015-05-05,19,6
18518,432,213,2015-01-01,2015-08-31,243,76.20576131687243,2015-03-01,2015-04-16,81,59
3,1,1,2015-01-01,2015-08-31,243,0.012345679012345678,2015-03-02,2015-03-02,1,1
10083,120,49,2015-01-01,2015-08-31,243,41.49382716049383,2015-07-03,2015-06-02,14,7
35047,799,436,2015-01-01,2015-08-31,243,144.22633744855966,2015-03-07,2015-03-01,75,49
104247,926,265,2015-01-01,2015-08-31,243,429.0,2015-05-02,2015-04-13,79,51
3512,89,7,2015-01-01,2015-08-31,243,14.452674897119342,2015-05-02,2015-04-23,13,2
16451,144,30,2015-01-01,2015-08-31,243,67.69958847736625,2015-02-20,2015-01-27,17,9
8961,193,90,2015-01-01,2015-08-31,243,36.876543209876544,2015-05-16,2015-05-17,30,10
5187,157,13,2015-01-01,2015-08-31,243,21.34567901234568,2015-05-30,2015-04-05,9,4
32057,1038,144,2015-01-01,2015-08-31,243,131.9218106995885,2015-07-28,2015-07-26,23,4
9835,483,219,2015-01-01,2015-08-31,243,40.47325102880659,2015-05-16,2015-05-27,40,27
146845,4297,1329,2015-01-01,2015-08-31,243,604.3004115226338,2015-06-20,2015-06-30,128,96
1819,40,1,2015-01-01,2015-08-31,243,7.48559670781893,2015-06-11,2015-04-04,8,1
4369,49,2,2015-01-01,2015-08-31,243,17.979423868312757,2015-03-27,2015-01-10,9,2
7831,108,37,2015-01-01,2015-08-31,243,32.22633744855967,2015-06-21,2015-05-05,11,6
12858,133,91,2015-01-01,2015-08-31,243,52.91358024691358,2015-04-05,2015-07-26,10,6
131440,1964,1072,2015-01-01,2015-08-31,243,540.9053497942386,2015-05-02,2015-05-27,135,105
83,70,13,2015-01-01,2015-08-31,243,0.34156378600823045,2015-04-01,2015-04-02,11,7
3264,50,16,2015-01-01,2015-08-31,243,13.432098765432098,2015-04-01,2015-05-15,8,6
154,154,154,2015-01-01,2015-08-31,243,0.6337448559670782,2015-06-01,2015-06-01,1,1
24274,548,135,2015-01-01,2015-08-31,243,99.89300411522633,2015-01-31,2015-01-27,63,37
6008,154,45,2015-01-01,2015-08-31,243,24.724279835390945,2015-05-04,2015-05-09,13,6
30341,1232,812,2015-01-01,2015-08-31,243,124.86008230452676,2015-03-28,2015-03-17,130,100
2756,55,34,2015-01-01,2015-08-31,243,11.34156378600823,2015-07-22,2015-06-29,30,2
7287,176,65,2015-01-01,2015-08-31,243,29.987654320987655,2015-05-27,2015-04-05,19,10
2227,94,10,2015-01-01,2015-08-31,243,9.164609053497943,2015-05-27,2015-04-02,5,5
3154,107,18,2015-01-01,2015-08-31,243,12.979423868312757,2015-04-08,2015-04-22,8,1
12038,464,237,2015-01-01,2015-08-31,243,49.53909465020576,2015-06-29,2015-06-21,63,43
138278,1783,791,2015-01-01,2015-08-31,243,569.0452674897119,2015-03-14,2015-06-30,166,123
518,12,1,2015-01-01,2015-08-31,243,2.1316872427983538,2015-04-30,2015-04-11,6,1
33398,578,1,2015-01-01,2015-08-31,243,137.440329218107,2015-05-22,2015-06-13,110,1
5867,200,53,2015-01-01,2015-08-31,243,24.144032921810698,2015-04-04,2015-05-09,19,5
18,12,6,2015-01-01,2015-08-31,243,0.07407407407407407,2015-04-02,2015-02-02,1,1
12902,355,141,2015-01-01,2015-08-31,243,53.09465020576132,2015-05-02,2015-04-07,27,20
4847,112,41,2015-01-01,2015-08-31,243,19.94650205761317,2015-05-06,2015-05-17,18,10
2482,47,5,2015-01-01,2015-08-31,243,10.213991769547325,2015-04-22,2015-05-25,24,4
52950,1430,319,2015-01-01,2015-08-31,243,217.90123456790124,2015-02-13,2015-01-27,151,54
4986,72,6,2015-01-01,2015-08-31,243,20.51851851851852,2015-04-08,2015-07-04,25,3
3027,150,7,2015-01-01,2015-08-31,243,12.45679012345679,2015-07-08,2015-07-30,10,7
194,10,1,2015-01-01,2015-08-31,243,0.7983539094650206,2015-06-29,2015-06-11,6,1
261,8,1,2015-01-01,2015-08-31,243,1.0740740740740742,2015-04-12,2015-04-03,7,1
20,20,20,2015-01-01,2015-08-31,243,0.0823045267489712,2015-01-01,2015-01-01,1,1
697,16,1,2015-01-01,2015-08-31,243,2.8683127572016462,2015-05-13,2015-04-05,7,1
4115,119,8,2015-01-01,2015-08-31,243,16.93415637860082,2015-05-20,2015-05-24,34,3
